"","name","0","1"
"1","Albemarle",545750,484889
"2","Augusta",448883,205969
"3","Clarke",82774,63998
"4","Culpeper",397207,97666
"5","Fauquier",442957,161473
"6","Frederick",329042,254739
"7","Greene",118066,69908
"8","Loudoun",275142,68214
"9","Madison",200490,159673
"10","Orange",351420,113507
"11","Page",114514,193393
"12","Rappahannock",107206,188642
"13","Rockingham",337281,307383
"14","Shenandoah",262531,279264
"15","Warren",144490,120184
