"","name","0","1","2","3","4","5","6","7","14","128","11","12","8","18","58","36","69","10","21","39","88","16"
"1","Albemarle",842540,49125,0,0,8527,0,0,0,140471,2526,0,0,0,0,0,0,0,0,0,11,0,0
"2","Augusta",427532,10171,23181,0,2490,556,254,735,1086,13344,3862,0,0,56,0,0,0,50339,20892,51424,44443,0
"3","Clarke",64862,55,5740,23020,0,0,0,53903,0,45,0,0,0,0,0,0,0,0,0,0,0,0
"4","Culpeper",381521,19837,13000,19886,0,0,0,0,0,54286,0,0,0,0,0,0,0,0,0,0,0,0
"5","Fauquier",419931,71177,22592,7616,0,0,0,50467,0,1593,3921,0,6997,0,0,0,0,0,0,0,0,0
"6","Frederick",299984,173247,75045,2013,12257,1,3,24,860,518,0,0,0,0,0,0,0,0,0,0,0,0
"7","Greene",93635,4299,0,0,0,0,0,0,58726,38,0,0,0,0,32099,0,0,0,0,0,0,0
"8","Loudoun",243207,38388,23434,39,0,4127,29599,0,0,1321,3675,0,0,0,0,0,0,0,0,0,0,0
"9","Madison",241290,939,0,0,0,0,0,0,0,10553,0,0,0,0,106868,0,0,0,0,0,0,0
"10","Orange",368305,80589,0,0,0,0,0,0,0,16622,0,0,0,0,0,0,0,0,0,0,0,0
"11","Page",78569,11497,405,332,14304,0,0,22431,0,60,16461,0,0,0,0,31605,134650,0,0,0,0,0
"12","Rappahannock",175644,1961,29760,0,0,0,0,0,0,17,0,0,0,72563,15508,0,0,0,0,0,0,0
"13","Rockingham",237379,76812,3163,0,0,0,2630,11,0,9988,86557,0,0,0,0,0,15954,0,27205,48068,0,134377
"14","Shenandoah",223682,132452,2248,2821,69142,0,0,58014,0,237,6067,47780,0,0,0,0,0,0,0,0,0,0
"15","Warren",124535,36065,4119,18,26123,1053,0,15060,0,63,0,4354,0,9992,0,40322,0,0,0,0,0,0
