"","name","0","1"
"1","Albemarle",548161,485261
"2","Augusta",445886,205812
"3","Clarke",82501,64123
"4","Culpeper",396096,97946
"5","Fauquier",432484,160838
"6","Frederick",324379,253825
"7","Greene",117762,70017
"8","Loudoun",276920,68005
"9","Madison",201179,159713
"10","Orange",350417,113462
"11","Page",114887,193363
"12","Rappahannock",107675,188683
"13","Rockingham",336167,307353
"14","Shenandoah",262075,278370
"15","Warren",142509,120046
