"","name","0","6","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","7","91","92","93","94","95","96","97","98","99","100","4","5"
"1","Albemarle",45714,66,168,278,706,1114,1603,2131,3738,6452,6281,7674,10699,14261,16418,17864,21854,22007,25251,25983,28560,29445,27264,25447,25123,21057,20661,20426,19681,20140,20473,21385,21520,21932,22691,23325,23232,23887,24209,24079,24005,23845,23640,23450,22448,22179,21796,20184,19061,16854,15500,13897,12424,11304,10168,9278,8689,8445,6915,6068,4927,4408,3398,2851,2291,1904,1727,1842,1263,1109,824,709,468,347,200,175,154,163,68,4,3,3,2,2,0,97,0,0,0,0,0,0,0,0,0,0,6,31
"2","Augusta",56961,0,0,0,1,2,17,132,142,199,251,298,437,614,894,1142,1764,2205,3116,4028,5566,7291,9972,12678,15178,17548,20529,22789,22895,25244,29183,25343,26687,25879,25626,25144,24281,22503,20836,20899,18533,17330,17123,15335,13895,11271,9956,9087,7479,7160,6172,5649,5253,4753,4300,3728,3351,2881,2510,2303,1791,1410,1334,1318,964,811,607,346,266,328,112,52,76,24,15,14,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Clarke",8687,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,4,14,25,30,42,51,55,99,175,257,386,546,598,671,932,1115,2121,3450,3838,3603,3929,4290,5010,5603,6448,6544,6592,6588,5727,5625,5415,5284,5549,5040,4300,3930,3427,3159,2693,2465,2092,2229,2057,1798,2053,1632,1437,1398,1155,1030,994,984,729,657,551,364,341,268,243,185,175,150,119,76,73,55,48,0,44,30,26,22,14,9,6,1,5,5,0,0
"4","Culpeper",72421,0,0,0,24,114,124,149,156,236,300,460,465,1640,2410,4631,7837,7293,6646,8133,6637,7133,6838,6755,7413,7479,8155,7760,8559,9118,9344,9577,8879,7918,7848,9094,9899,9552,12513,12367,12112,12604,8653,8102,8168,8337,8306,8507,8079,7849,7594,7436,7431,7016,7099,7250,7202,6645,6267,5907,5454,5417,5006,4549,4354,4337,3919,3037,2178,1887,1691,1549,1295,1041,749,816,459,140,96,52,8,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Fauquier",33946,0,1,0,9,181,316,582,1046,1169,1337,1534,1944,2455,3875,4152,4379,4909,6667,6971,6617,6461,6656,10578,13342,12857,12175,15220,16772,14213,12475,11555,11285,12064,11783,11911,13670,13583,12196,14177,13452,11570,11471,10657,10408,10673,10899,10625,10994,10761,10672,10980,10303,10140,9755,9510,9900,9394,8682,8143,7866,7683,7431,6345,5915,6387,5800,4813,4577,3858,4081,3720,3193,2861,2338,1973,2095,1364,1247,1316,1225,441,206,140,55,2,22,21,5,7,5,0,0,0,0,0,0,0
"6","Frederick",26884,1,5,12,17,13,27,92,261,434,687,1271,2555,3303,3938,4407,4877,5597,6562,7371,8536,10028,11837,12644,13089,14066,15110,16110,16469,17369,18484,18904,18969,19366,18850,19732,19855,19791,19140,17641,16803,15833,14916,14067,13221,12048,10935,10213,10165,9440,8601,8075,7548,6696,5863,5388,4606,4100,3386,2823,2533,2288,1894,1529,1481,1067,936,754,569,357,219,165,83,66,41,46,10,12,13,5,3,4,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Greene",9688,0,0,0,4,5,11,14,13,12,25,71,199,335,576,1010,1714,2734,4266,5825,6912,7086,6859,7316,7081,6822,7527,5931,5300,4650,4537,4002,3932,3734,3554,3645,3527,3355,3492,3414,3500,3522,3537,3839,3716,3529,3306,3255,3187,2967,2599,2480,2325,2056,1968,1703,1431,1233,1188,965,897,742,653,526,472,343,351,309,274,267,291,196,132,102,81,50,33,19,13,4,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Loudoun",27495,8,16,19,16,9,12,22,1583,203,443,764,1152,805,510,457,466,867,1316,1089,965,1677,1444,1498,1865,3022,5720,6975,8400,12340,14000,12684,11038,10579,9996,9136,8367,8416,7601,7014,6665,5793,5242,5039,4324,4525,4264,4534,4653,4869,4906,5108,5469,5562,5732,5810,5999,5904,6087,5740,5861,5738,5561,5734,5647,6269,5489,4481,3776,3602,3227,2715,3237,2814,2218,1891,1467,1093,636,603,379,209,103,63,33,27,28,5,3,0,0,0,0,0,0,0,0,0
"9","Madison",28679,0,0,1,3,11,31,52,98,135,277,461,568,818,1588,3071,5377,7556,8405,10102,10401,10845,10722,10650,10755,10578,10429,12035,10039,9057,8730,8428,8993,9227,6662,6486,6433,6450,6482,6218,6408,6605,6731,6924,7393,7475,7210,6760,6262,5833,5197,4614,4337,3998,3820,3359,3223,2935,2510,2196,1803,1494,1186,963,871,850,499,367,289,249,273,170,111,88,78,114,49,35,16,12,7,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
