"","name","0","2","3","4","5","6","7","8","9","10","11","13","14","15","16","12"
"1","Albemarle",4141,0,201023,208830,249259,1336,174508,22696,59047,95607,10249,0,0,19,0,16485
"2","Augusta",25119,0,208120,102596,72146,13203,126365,21249,47710,31353,1159,0,2,1340,0,3
"3","Clarke",13011,0,20,22534,7747,6040,29408,8658,24038,16844,1913,3482,0,55,0,13875
"4","Culpeper",2852,0,21840,109081,166223,346,4400,7365,49198,111505,5776,0,0,0,0,9944
"5","Fauquier",2266,0,10960,90760,100655,12523,38966,2439,116504,149342,52419,0,0,0,0,7460
"6","Frederick",3053,1399,50303,117841,281420,14,74046,11709,5285,13926,293,3452,71,1133,7,0
"7","Greene",619,0,54842,6671,29525,173,56295,3625,13710,19373,2211,0,0,0,0,1753
"8","Loudoun",3459,0,9062,31575,39265,63911,11652,2359,28421,77197,23769,0,472,0,593,52055
"9","Madison",27978,0,25678,75513,72267,8987,126055,1011,18967,1577,413,0,0,0,0,1204
"10","Orange",3284,0,52478,302336,53645,6706,10273,3571,10799,18574,1693,0,0,0,0,2157
"11","Page",3299,0,18498,60196,152977,149,25266,8443,25915,4620,0,0,1204,1087,1127,7533
"12","Rappahannock",57948,0,21004,38235,44080,0,123947,1155,5768,1938,941,0,0,0,0,437
"13","Rockingham",36997,0,120382,158637,146667,40274,80616,10033,30100,17693,0,0,24,721,0,0
"14","Shenandoah",12476,0,89143,102479,207368,1116,79093,4008,29617,10340,97,0,401,1715,4590,0
"15","Warren",2272,0,20,45646,83189,147,44002,995,8473,74773,2158,3,0,0,12,14
