"","name","0","1"
"1","Albemarle",562060,487486
"2","Augusta",446155,204904
"3","Clarke",82189,63944
"4","Culpeper",393562,96851
"5","Fauquier",438655,160751
"6","Frederick",326916,250712
"7","Greene",117686,70123
"8","Loudoun",289009,68398
"9","Madison",200408,159635
"10","Orange",351140,113632
"11","Page",115596,193295
"12","Rappahannock",106702,188711
"13","Rockingham",336363,306550
"14","Shenandoah",267523,278909
"15","Warren",144485,120489
