"","name","0","6","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","90","7","89","91","92","93","94","95","96","97","98","99","100","5","4"
"1","Albemarle",44802,64,173,315,717,1130,1609,2137,3752,6453,6290,7691,10731,14203,16338,17715,21505,21616,24830,25477,28040,28874,26753,25079,24788,20738,20434,20191,19412,19862,20232,21200,21291,21777,22471,23071,22963,23592,23943,23828,23764,23549,23331,23138,22110,21820,21456,19853,18757,16550,15283,13666,12270,11178,10043,9186,8604,8383,6855,6006,4878,4378,3370,2831,2279,1894,1723,1833,1256,1100,822,706,467,345,198,174,152,163,68,4,3,3,2,0,94,2,0,0,0,0,0,0,0,0,0,0,32,6
"2","Augusta",57080,0,0,0,1,2,16,148,147,198,245,297,433,612,885,1146,1751,2191,3100,3989,5576,7276,9908,12655,15085,17530,20484,22723,22882,25205,29024,25176,26634,25801,25549,25051,24282,22489,20806,20815,18499,17324,17120,15294,13893,11276,9918,9034,7466,7155,6175,5632,5219,4734,4296,3722,3356,2877,2503,2303,1786,1400,1335,1313,966,812,611,348,268,339,114,55,76,25,15,14,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Clarke",8619,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,4,14,25,30,42,51,55,99,175,257,386,546,598,670,933,1112,2140,3538,3853,3619,3871,4276,5001,5592,6472,6519,6561,6583,5687,5581,5434,5280,5529,5003,4304,3937,3415,3153,2688,2460,2088,2221,2050,1798,2038,1629,1427,1395,1153,1026,991,982,728,654,551,365,341,268,243,185,175,150,119,76,73,48,0,55,44,30,26,22,14,9,6,1,5,5,0,0
"4","Culpeper",71401,0,0,0,12,100,112,151,157,279,313,470,498,1601,2353,4537,7855,7247,6706,8108,6667,7174,6723,6741,7330,7442,8231,7796,8592,9139,9203,9503,8886,7919,7782,9237,9843,9562,12704,12434,12238,12476,8810,8173,8245,8370,8304,8569,8080,7845,7610,7462,7543,7063,7142,7376,7315,6659,6308,5958,5500,5447,5013,4545,4371,4411,3965,3072,2224,1894,1723,1573,1306,1033,784,816,468,161,104,58,9,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Fauquier",33520,0,1,0,8,181,321,571,1033,1158,1338,1535,1937,2467,3890,4157,4375,4903,6672,6927,6646,6432,6650,10422,13133,12706,12064,15125,16503,14048,12328,11447,11091,11992,11713,11876,13385,13451,12099,13950,13232,11428,11385,10558,10317,10570,10871,10534,10888,10674,10597,10891,10214,10029,9676,9404,9761,9325,8622,8068,7761,7578,7332,6269,5867,6286,5679,4713,4440,3829,4014,3689,3173,2784,2276,1915,2043,1353,1223,1251,1181,439,204,55,2,136,24,21,5,7,5,0,0,0,0,0,0,0
"6","Frederick",25890,1,5,12,16,10,25,92,259,435,685,1254,2494,3258,3902,4342,4829,5558,6488,7356,8511,10006,11762,12606,13063,14077,15060,16052,16428,17361,18290,18630,18680,18842,18465,19383,19544,19357,18671,17235,16448,15531,14516,13711,13025,11865,10732,9981,9928,9208,8441,7901,7378,6546,5727,5263,4494,3962,3281,2746,2457,2191,1823,1466,1434,1025,900,719,536,341,210,159,80,64,38,36,8,12,13,4,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Greene",9766,0,0,0,4,5,11,15,13,15,25,71,208,338,567,1033,1720,2763,4285,5855,6918,7120,6883,7346,7124,6806,7526,5933,5302,4664,4541,4021,3925,3744,3575,3658,3540,3351,3481,3485,3506,3547,3586,3895,3714,3582,3305,3320,3194,2952,2585,2472,2323,2048,1978,1702,1421,1225,1176,964,896,754,663,533,483,343,363,307,277,272,289,193,131,100,83,50,33,19,13,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Loudoun",26264,5,6,7,8,5,6,14,1013,106,374,708,1007,754,448,375,357,633,1096,940,786,1360,1114,1324,1684,2851,5406,6581,8167,11783,13645,12369,10869,10406,9853,8994,8234,8147,7325,6709,6248,5522,5019,4734,4105,4341,4074,4359,4437,4653,4709,4897,5250,5236,5500,5549,5750,5665,5744,5497,5655,5539,5427,5509,5478,6077,5350,4350,3623,3402,3037,2619,3206,2734,2122,1860,1457,1057,604,517,346,204,102,33,19,65,28,5,3,0,0,0,0,0,0,0,0,0
"9","Madison",28664,0,0,1,3,9,23,48,99,131,264,452,562,814,1583,3073,5330,7553,8480,10131,10397,10848,10696,10639,10754,10580,10437,12051,10028,9062,8737,8459,8995,9231,6685,6489,6466,6462,6500,6239,6420,6615,6756,6912,7404,7494,7248,6772,6239,5815,5205,4595,4339,3987,3828,3324,3173,2891,2509,2182,1776,1488,1177,940,862,825,501,363,287,243,274,170,109,92,78,113,53,34,14,11,5,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
