"","name","0","1","2","3","4","5","6","7","14","128","11","12","8","18","58","36","69","10","21","39","88","16"
"1","Albemarle",849804,49304,0,0,9088,0,0,0,141034,1914,0,0,0,0,0,0,0,0,0,11,0,0
"2","Augusta",428809,10192,23117,0,2576,556,226,735,1086,13329,3865,0,0,49,0,0,0,50358,20837,51272,44600,0
"3","Clarke",64155,56,5723,22942,0,0,0,53903,0,45,0,0,0,0,0,0,0,0,0,0,0,0
"4","Culpeper",381993,20746,12986,19827,0,0,0,0,0,55159,0,0,0,0,0,0,0,0,0,0,0,0
"5","Fauquier",435136,71127,23052,7647,0,0,0,50399,0,1667,3933,0,7010,0,0,0,0,0,0,0,0,0
"6","Frederick",310918,174375,76961,2017,12301,1,3,27,947,520,0,0,0,0,0,0,0,0,0,0,0,0
"7","Greene",92643,4281,0,0,0,0,0,0,58871,48,0,0,0,0,32113,0,0,0,0,0,0,0
"8","Loudoun",257330,38628,23607,39,0,4060,29820,0,0,616,3770,0,0,0,0,0,0,0,0,0,0,0
"9","Madison",241657,922,0,0,0,0,0,0,0,11056,0,0,0,0,106640,0,0,0,0,0,0,0
"10","Orange",369638,79854,0,0,0,0,0,0,0,15775,0,0,0,0,0,0,0,0,0,0,0,0
"11","Page",78735,11454,405,350,14302,0,0,22383,0,23,16481,0,0,0,0,31556,134664,0,0,0,0,0
"12","Rappahannock",175697,1955,29682,0,0,0,0,0,0,0,0,0,0,72743,15542,0,0,0,0,0,0,0
"13","Rockingham",238662,76859,3448,0,0,0,2651,11,0,10684,86482,0,0,0,0,0,15958,0,27145,48147,0,134369
"14","Shenandoah",226633,132908,2229,3044,69260,0,0,57954,0,353,6066,48311,0,0,0,0,0,0,0,0,0,0
"15","Warren",127835,36310,4247,58,26184,1086,0,15609,0,14,0,4362,0,9985,0,40075,0,0,0,0,0,0
