"","name","0","1"
"1","Albemarle",554999,486564
"2","Augusta",444970,204839
"3","Clarke",82791,64143
"4","Culpeper",390536,97704
"5","Fauquier",423017,160742
"6","Frederick",314704,248808
"7","Greene",118569,70101
"8","Loudoun",275064,68258
"9","Madison",199472,159941
"10","Orange",350520,114524
"11","Page",115491,193342
"12","Rappahannock",106726,188524
"13","Rockingham",334403,306282
"14","Shenandoah",264109,277988
"15","Warren",141470,119459
