"","name","0","1","2","3","4","5","7","14","128","6","11","12","8","18","58","36","69","10","21","39","88","16"
"1","Albemarle",843090,49923,0,0,9094,0,0,141245,2172,0,0,0,0,0,0,0,0,0,0,11,0,0
"2","Augusta",431725,10216,23647,0,2712,549,726,1086,13805,225,3865,0,0,53,0,0,0,50668,20989,51648,44838,0
"3","Clarke",64860,56,5770,23091,0,0,53859,0,90,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","Culpeper",386034,21419,12848,20125,0,0,0,0,54393,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Fauquier",445269,71611,23412,7770,0,0,50557,0,1795,0,3938,0,7053,0,0,0,0,0,0,0,0,0
"6","Frederick",320375,178684,79519,1995,12393,1,8,668,574,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Greene",91958,4290,0,0,0,0,0,59033,55,0,0,0,0,0,32087,0,0,0,0,0,0,0
"8","Loudoun",258831,38293,23622,39,0,4163,0,0,939,29864,3779,0,0,0,0,0,0,0,0,0,0,0
"9","Madison",241678,916,0,0,0,0,0,0,10960,0,0,0,0,0,106903,0,0,0,0,0,0,0
"10","Orange",368941,80724,0,0,0,0,0,0,15583,0,0,0,0,0,0,0,0,0,0,0,0,0
"11","Page",78347,11448,405,300,14308,0,22461,0,56,0,16517,0,0,0,0,31718,134535,0,0,0,0,0
"12","Rappahannock",176518,1961,29765,0,0,0,0,0,33,0,0,0,0,72670,15477,0,0,0,0,0,0,0
"13","Rockingham",239280,77310,3662,0,0,0,5,0,9891,2774,87634,0,0,0,0,0,15976,0,27379,48262,0,134963
"14","Shenandoah",226574,133550,2244,2429,69563,0,58100,0,264,0,6033,48536,0,0,0,0,0,0,0,0,0,0
"15","Warren",129362,36493,4238,52,27339,1091,15837,0,16,0,0,4392,0,9920,0,40335,0,0,0,0,0,0
