"","name","0","6","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23","24","25","26","27","28","29","30","31","32","33","34","35","36","37","38","39","40","41","42","43","44","45","46","47","48","49","50","51","52","53","54","55","56","57","58","59","60","61","62","63","64","65","66","67","68","69","70","71","72","73","74","75","76","77","78","79","80","81","82","83","84","85","86","87","88","89","90","7","91","92","93","94","95","96","97","98","99","100","4","5"
"1","Albemarle",46827,61,155,255,672,1089,1561,2089,3703,6360,6232,7615,10757,14221,16370,17881,21832,22128,25347,26150,28704,29437,27269,25439,25145,21097,20725,20490,19770,20140,20479,21418,21567,22008,22782,23388,23304,23931,24302,24233,24099,24034,23826,23685,22631,22442,22061,20475,19284,17030,15681,14013,12548,11423,10264,9433,8837,8538,6993,6128,4986,4445,3438,2876,2316,1927,1740,1844,1263,1109,822,696,464,346,199,176,155,163,68,4,3,3,2,2,0,98,0,0,0,0,0,0,0,0,0,0,6,30
"2","Augusta",56430,0,0,0,1,2,17,132,129,184,237,285,418,588,876,1120,1730,2186,3159,4101,5616,7320,9982,12659,15159,17465,20530,22680,22770,25091,29066,25086,26493,25737,25369,24864,24058,22328,20626,20728,18314,17132,16880,15127,13769,11169,9860,8932,7392,7063,6098,5559,5155,4713,4235,3704,3331,2850,2467,2287,1772,1399,1324,1305,956,802,606,344,265,332,112,54,77,23,15,13,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","Clarke",8609,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,0,4,14,25,35,43,51,55,99,175,257,385,546,597,668,933,1115,2079,3398,3791,3569,3872,4255,5003,5577,6347,6518,6537,6549,5706,5611,5433,5232,5490,5012,4273,3936,3423,3154,2687,2463,2087,2217,2052,1786,2041,1626,1430,1391,1151,1024,991,960,722,651,549,364,341,268,243,185,175,150,119,76,73,55,48,0,44,30,25,22,14,9,6,1,5,5,0,0
"4","Culpeper",72932,0,0,0,26,124,119,145,156,247,308,434,477,1647,2425,4465,7654,7138,6591,8062,6550,7022,6722,6668,7280,7333,8130,7646,8408,9008,9171,9443,8721,7816,7719,8997,9892,9377,12531,12183,11963,12470,8609,7982,8097,8257,8171,8480,7928,7790,7527,7350,7421,6968,7047,7223,7122,6625,6205,5834,5466,5352,4993,4497,4273,4301,3868,2997,2185,1906,1687,1557,1302,1053,739,786,467,149,101,56,9,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"5","Fauquier",33133,0,1,0,9,181,321,583,1042,1165,1336,1530,1932,2447,3863,4077,4336,4877,6627,6937,6596,6369,6568,10435,13098,12601,11881,14885,16568,13980,12298,11323,11098,11820,11565,11756,13377,13311,11994,13896,12999,11344,11236,10508,10264,10515,10755,10420,10754,10585,10452,10709,10076,9943,9532,9305,9718,9271,8558,8005,7679,7484,7204,6220,5802,6210,5700,4649,4493,3808,3945,3676,3165,2795,2285,1912,2062,1332,1213,1210,1106,420,201,142,57,2,28,23,5,5,5,0,0,0,0,0,0,0
"6","Frederick",26628,1,5,12,18,17,26,88,259,425,680,1339,2698,3388,4046,4447,4724,5390,6272,7049,8116,9605,11281,12085,12549,13579,14504,15564,15873,16850,17893,18301,18413,18842,18602,19200,19416,19167,18315,16774,16052,15296,14496,13733,12948,11805,10693,9907,9902,9196,8392,7832,7368,6583,5805,5297,4574,4071,3408,2837,2563,2299,1940,1579,1534,1069,968,752,581,361,228,173,91,66,41,47,11,12,15,5,3,4,6,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","Greene",9736,0,0,0,4,6,11,14,13,16,29,74,222,343,573,1056,1758,2749,4283,5890,6921,7132,6901,7338,7097,6823,7532,5936,5278,4646,4536,4011,3944,3744,3575,3641,3544,3353,3491,3461,3518,3553,3551,3830,3686,3528,3292,3303,3172,2953,2597,2465,2312,2042,1962,1685,1438,1220,1184,972,892,743,668,538,490,354,359,309,281,272,293,199,132,101,82,48,32,16,11,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","Loudoun",28024,13,14,17,14,13,19,31,1595,216,474,882,1234,900,609,587,713,1123,1618,1314,1133,1871,1667,1616,1989,3136,5835,6917,8384,12171,13806,12727,11154,10581,9977,9122,8404,8267,7439,6912,6665,5838,5283,4841,4222,4367,4162,4419,4538,4725,4770,4969,5299,5357,5575,5573,5850,5749,5933,5582,5721,5573,5479,5650,5556,6149,5443,4387,3637,3458,3079,2674,3187,2771,2160,1837,1433,1030,627,578,339,212,108,53,34,32,27,5,3,0,0,0,0,0,0,0,0,0
"9","Madison",28766,0,0,1,3,10,25,47,86,133,270,457,561,816,1592,3107,5383,7576,8452,10123,10403,10835,10669,10629,10731,10546,10428,12050,10007,9022,8705,8439,8983,9211,6662,6470,6427,6433,6477,6201,6382,6587,6704,6882,7381,7457,7220,6773,6251,5814,5222,4630,4337,4015,3832,3371,3234,2927,2513,2199,1809,1485,1177,955,863,850,515,370,290,246,277,166,108,90,82,111,54,38,15,11,7,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
