"","name","0","1"
"1","Albemarle",555845,488059
"2","Augusta",449905,206296
"3","Clarke",82976,64077
"4","Culpeper",397199,97296
"5","Fauquier",449847,160975
"6","Frederick",338337,255419
"7","Greene",117489,69795
"8","Loudoun",290403,68626
"9","Madison",200360,159859
"10","Orange",351019,113738
"11","Page",115263,193367
"12","Rappahannock",107633,188585
"13","Rockingham",338087,307598
"14","Shenandoah",267111,279837
"15","Warren",146989,121304
